Year,Title,Role,Director
1988,August 1,Perumal,Sibi Malayil
1988,Sangham,Kuttappai,Joshiy
1988,Abkari,Vasu,I. V. Sasi
1988,Oru CBI Diary Kurippu,Sethurama Iyer,K. Madhu
1988,Dhinarathrangal,Aravindan,Joshy
1988,Vicharana,Sethumadhavan,Sibi Malayil
1988,Manu Uncle,Manu Uncle,Dennis Joseph
1987,Nalkkavala,Babu,I. V. Sasi
1987,Anantaram,Dr. Balu,Adoor Gopalakrishnan
1987,Aankiliyude Tharattu,Haridas,Cochin Haneefa
1987,Manivathoorile Aayiram Sivarathrikal,Dr. Vinayachandran,Fazil
1987,Thaniyavarthanam,Balan Mash,Sibi Malayil
1987,New Delhi,G. Krishnamoorthy,Joshiy
1987,Kalam Mari Katha Mari,Kamarudden,M. Krishnan Nair
1987,Athinumappuram,Ravindran,Thevalakkara Chellappan
1987,Adimakal Udamakal,Raghavan,I. V. Sasi
1987,Nombarathi Poovu,Dr. Padmanabhan,P. Padmarajan
1987,Ithrayum Kalam,Varghese,I. V. Sasi
1987,Sreedharante Onnam Thirumurivu,Sreedharan,Sathyan Anthikkad
1987,Oru Sindoora Pottinte Ormakku,Roy Thampi,Cochin Haneefa
1987,Kathakku Pinnil,Thampi,K. G. George
1987,Kottum Kuravayum,Damu,Alleppey Ashraf
1986,Ennu Nathante Nimmi,Mahesh,Sajan
1986,Rareeram,Nandakumar,Sibi Malayil
1986,Kochu Themmadi,Sekharan Master,A. Vincent
1986,Aval Kaathirunnu Avanum....,Gopinath,P. G. Viswambharan
1986,Rakkuyilin Ragasadassil,Viswanathan,Priyadarshan
1986,Sayam Sandhya,Sivaprasad,Joshiy
1986,Padayani,Sudhakaran,T. S. Mohan
1986,Pranamam,Prathapan,Bharathan
1986,Geetham,Yatheendran,Sajan
1986,Veendum,Vijaya Chandran,Joshiy
1986,Ee Kaikalil,Sultan Abdul Razak,K. Madhu
1986,Nyayavidhi,Paramu,Joshiy
1986,Aavanazhi,Balram,I. V. Sasi
1986,Poovinnu Puthiya Poonthennal,Kiran,Fazil
1986,Ice Cream,Thampi,Antony Eastman
1986,Aayiram Kannukal,Dr. Sam,Joshiy
1986,Moonnu Masangalkku Munpu,Dr. Rajasekhran,Cochin Haneefa
1986,Nandi Veendum Varika,Mohandas,P. G. Viswambharan
1986,Gandhinagar 2nd Street,Balachandran,Sathyan Anthikkad
