Year,Title,Role,Age
1988,Mukthi,Haridas,37
1988,Mattoral,Balan,37
1988,Manu Uncle,Manu Uncle,37
1988,Dhinarathrangal,Aravindan,37
1988,August 1,Perumal,37
1988,Abkari,Vasu,37
1988,1921,Naik Khader,37
1987,Thaniyavarthanam,Balan Mash,36
1987,Sreedharante Onnam Thirumurivu,Sreedharan,36
1987,Oru Sindoora Pottinte Ormakku,Roy Thampi,36
1987,Nombarathi Poovu,Dr. Padmanabhan,36
1987,New Delhi,G. Krishnamoorthy,36
1987,Nalkkavala,Babu,36
1987,Manivathoorile Aayiram Sivarathrikal,Dr. Vinayachandran,36
1987,Kottum Kuravayum,Damu,36
1987,Kathakku Pinnil,Thampi,36
1987,Kalam Mari Katha Mari,Kamarudden,36
1987,Ithrayum Kalam,Varghese,36
1987,Athinumappuram,Ravindran,36
1987,Anantaram,Dr. Balu,36
1987,Adimakal Udamakal,Raghavan,36
1987,Aankiliyude Tharattu,Haridas,36
1986,Veendum,Vijaya Chandran,35
1986,Vartha,Madhavan Kutty,35
1986,Snehamulla Simham,Vaishakhan,35
1986,Shyama,Viswanathan,35
1986,Sayam Sandhya,Sivaprasad,35
1986,Rareeram,Nandakumar,35
1986,Rakkuyilin Ragasadassil,Viswanathan,35
1986,Prathyekam Sradhikuka,Suresh,35
1986,Pranamam,Prathapan,35
1986,Poovinnu Puthiya Poonthennal,Kiran,35
1986,Poomukhappadiyil Ninneyum Kathu,Isacc Peter,35
1986,Padayani,Sudhakaran,35
1986,Oru Katha Oru Nunnakkatha,Prof. Mohandas,35
1986,Nyayavidhi,Paramu,35
1986,Neram Pularumbol,Lawrence,35
1986,Nandi Veendum Varika,Mohandas,35
1986,Moonnu Masangalkku Munpu,Dr. Rajasekhran,35
1986,Mazha Peyyunnu Maddalam Kottunnu,Guest appearance,35
1986,Malarum Kiliyum,Balachandran,35
1986,Kshamichu Ennoru Vakku,Adv. Ravindranath,35
1986,Kochu Themmadi,Sekharan Master,35
1986,Kaveri,Dr. Hari,35
1986,Kariyila Kattu Pole,Harikrishnan,35
1986,Ithile Iniyum Varu,Aravindan,35
1986,Ice Cream,Thampi,35
1986,Geetham,Yatheendran,35
1986,Gandhinagar 2nd Street,Balachandran,35
1986,Ennu Nathante Nimmi,Mahesh,35
1986,Ee Kaikalil,Sultan Abdul Razak,35
1986,Aval Kaathirunnu Avanum....,Gopinath,35
1986,Arappatta Kettiya Gramathil,Zacharia,35
1986,Adukkan Entheluppam,Srinivasan Nair,35
1986,Aayiram Kannukal,Dr. Sam,35
1986,Aavanazhi,Balram,35
1986,Aalorungi Arangorungi,Rajan,35
1985,Yathra,Unnikrishnan,34
1985,Vilichu Vilikettu,Vijayan,34
1985,Upaharam,Dr. Jeevan Thomas,34
1985,Thinkalazhcha Nalla Divasam,Gopan,34
1985,Thammil Thammil,Dr. Rajagopal,34
1985,Puzhayozhukum Vazhi,Gopan,34
1985,Puli Varunne Puli,Jayaraman,34
1985,Parayanumvayya Parayathirikkanumvayya,Sreekumar,34
1985,Oru Sandesam Koodi,Vijayan,34
1985,Oru Nokku Kanan,Jayadevan,34
1985,Onningu Vannengil,Mohandas,34
1985,Oduvil Kittiya Vartha,Gopalan Kutty,34
1985,Nirakkoottu,Ravi Varma,34
1985,Muhurtham Pathnonnu Muppathinu,Dr. M. K. Haridas,34
1985,Manya Mahajanangale,Devan,34
1985,Makan Ente Makan,Prakasan,34
1985,Kathodu Kathoram,Louis,34
1985,Katha Ithuvare,Balachandran,34
1985,Karimbinpoovinakkare,Sivan,34
1985,Kandu Kandarinju,Sreedharan,34
1985,Kanathaya Penkutty,Rajmohan,34
1985,Iniyum Katha Thudarum,Ravindran,34
1985,Idanilangal,Vijayan,34
1985,Ente Kaanakkuyil,Mohan Kumar,34
1985,Ee Thanalil Ithiri Neram,Vijayan,34
1985,Ee Sabdam Innathe Sabdam,Dr. Ramachandran,34
1985,Eeran Sandhya,Madhavankutty,34
1985,Ee Lokam Ivide Kure Manushyar,Ummer,34
1985,Ayanam,Johny,34
1985,Avidathepole Ivideyum,Anirudhan,34
1985,Anubandham,Muraleedharan Master,34
1985,Angadikkappurath,Jose,34
1985,Akalathe Ambili,Ajayan,34
1985,Aa Neram Alppa Dooram,Jameskutty,34
1984,Vikatakavi,Usman,33
1984,Vetta,Rathish,33
1984,Veendum Chalikkunna Chakram,Jose,33
1984,Thirakil Alppam Samayam,Jose,33
1984,Sandhyakenthinu Sindooram,Raghunathan,33
1984,Sandarbham,Ravi,33
1984,Pavam Poornima,Jayaraj,33
1984,Oru Kochukatha Aarum Parayatha Katha,Dr. Surendran,33
1984,Onnum Mindatha Bharya,Achuthan Nair,33
1984,Onnanu Nammal,Sethu,33
1984,Manithali,Zulfikar,33
1984,Mangalam Nerunnu,Babu,33
1984,Lakshmana Rekha,Sukumaran Nair,33
1984,Koottinilamkili,Krishnanunni,33
1984,Kodathi,Rajendran,33
1984,Kanamarayathu,Roy Varghese,33
1984,Ithiri Poove Chuvannapoove,Balagopalan,33
1984,Itha Innu Muthal,Adv. Jayamohan,33
1984,Idavelakku Sesham,Jayadevan,33
1984,Ethirppukal,Kochu Baby,33
1984,Ente Upasana,Arjunan,33
1984,Engane Undasane,Gopikuttan Pillai,33
1984,Chakkarayumma,Babu,33
1984,Athirathram,Tharadas,33
1984,Ariyaatha Veethikal,Ravi,33
1984,Anithichuvappu,George Kutty,33
1984,Alakadalinakkare,Anand,33
1984,Aksharangal,Jayadevan,33
1984,Akkare,Ismail,33
1984,Adiyozhukkukal,Karunan,33
1984,Aayiram Abilashangal,Devadasan,33
1984,Aattuvanchi Ulanjappol,Balachandran,33
1984,Aarorumariyathe,Venugopal,33
1984,Aalkkoottathil Thaniye,Rajan,33
1983,Visa,Shereef,32
1983,Theeram Thedunna Thira,Madhu,32
1983,Sesham Kazhchayil,Jagadish,32
1983,Sandhyakku Virinja Poovu,Jayamohan,32
1983,Saagaram Shaantham,Ananthan,32
1983,Rugma,Raghu,32
1983,Rachana,Gopi,32
1983,Prathijnja,Hamsa,32
1983,Pinnilavu,Unni,32
1983,Oru Swakaryam,Usman,32
1983,Oru Mukham Pala Mukham,Muralidhran Thambi,32
1983,Oru Madapravinte Katha,Balachandran,32
1983,Onnu Chirikku,Unnikrishnan,32
1983,Nanayam,Raju,32
1983,Nadi Muthal Nadi Vare,Raju,32
1983,Marakkillorikkalum,Cameo,32
1983,Maniyara,Shameer,32
1983,Manassoru Mahasamudram,Venugopal,32
1983,Lekhayude Maranam Oru Flashback,Prem Sagar,32
1983,Koodevide,Captain Thomas,32
1983,Kodunkattu,Musthafa,32
1983,Kinnaram,Balachandran,32
1983,Kattaruvi,Vasu,32
1983,Iniyenkilum,Divakaran,32
1983,Himavahini,Gopi,32
1983,Guru Dakshina,John,32
1983,Ente Katha,Babu,32
1983,Eettillam,Sivan,32
1983,Coolie,Kunchali,32
1983,Changatham,Tony Francis,32
1983,Chakravalam Chuvannappol,Vasu,32
1983,Asthram,Balu,32
1983,America America,Ramesh,32
1983,Aa Rathri,Balu,32
1983,Aadaminte Vaariyellu,Jose,32
1982,Yavanika,Jacob Eerally,31
1982,Vidhichathum Kothichathum,Vasu,31
1982,Veedu,Rajasekhara Menon,31
1982,Vaarikkuzhi,,31
1982,Thadaakam,,31
1982,Sindoora Sandhyakku Mounam,Bitpart,31
1982,Sara Varsham,Rajashekharan,31
1982,Post Mortem,Johny,31
1982,Pooviriyum Pulari,Ramesh,31
1982,Ponnum Poovum,Salim,31
1982,Padayottam,Kammaran,31
1982,Oru Thira Pinneyum Thira,Jayadevan,31
1982,Komaram,Babu,31
1982,Keni,Babu,31
1982,John Jaffer Janardhanan,Janardhanan,31
1982,Innallenkil Naale,Rahim,31
1982,Idiyum Minnalum,Prabhakaran,31
1982,Enthino Pookunna Pookal,Sivaraman,31
1982,Ee Nadu,Salim,31
1982,Chiriyo Chiri,Unknown,31
1982,Chambalkadu,Beeran,31
1982,Balloon,Muthukoya,31
1982,Amrutha Geetham,Suresh,31
1982,Aa Divasam,Balachandran,31
1981,Thrishna,Krishna Das,30
1981,Sphodanam,Thankappan,30
1981,Oothikachiya Ponnu,Thoman Kutty,30
1981,Munnettam,Rajappan,30
1981,Ahimsa,Vasu,30
1980,Vilkkanundu Swapnangal,Madhavan Kutty,29
1980,Mela,Vijayan,29
1973,Kaalachakram,Balakrishnan,22
1971,Anubhavangal Paalichakal,Uncredited,20
